timestamp,model,role,task,benchmark,tier,score,score_reason,wall_seconds,prompt_chars,approx_prompt_tokens,api_prompt_tokens,completion_tokens,total_tokens,finish_reason,output_mode,response_chars,error,prompt_file,response_file,raw_response_file,memory_file
2026-05-04T05:16:08.009739+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,repo_architecture-128k,longctx-code,128k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (132253 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":132253,""n_ctx"":65536}}",0.145,514745,128686,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (132253 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":132253,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/repo_architecture-128k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-repo_architecture-128k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-repo_architecture-128k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:16:08.420695+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,duplicate_logic-128k,longctx-code,128k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (131988 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":131988,""n_ctx"":65536}}",0.41,513748,128437,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (131988 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":131988,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/duplicate_logic-128k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-duplicate_logic-128k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-duplicate_logic-128k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:16:09.483979+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,bug_risk-128k,longctx-code,128k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (132230 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":132230,""n_ctx"":65536}}",1.063,514652,128663,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (132230 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":132230,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/bug_risk-128k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-bug_risk-128k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-bug_risk-128k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:16:09.627612+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,refactor_plan-128k,longctx-code,128k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (132258 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":132258,""n_ctx"":65536}}",0.143,514780,128695,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (132258 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":132258,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/refactor_plan-128k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-refactor_plan-128k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-refactor_plan-128k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:16:09.773276+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,finance_memo-128k,longctx-finance,128k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (143841 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":143841,""n_ctx"":65536}}",0.145,507751,126937,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (143841 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":143841,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/finance_memo-128k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-finance_memo-128k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-finance_memo-128k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:16:09.931944+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,json_rules-128k,longctx-instructions,128k,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (108543 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":108543,""n_ctx"":65536}}",0.158,511431,127857,,,,,backend_error,0,"HTTP 400: {""error"":{""code"":400,""message"":""request (108543 tokens) exceeds the available context size (65536 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":108543,""n_ctx"":65536}}",/opt/atom/bench/prompts/generated/json_rules-128k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-json_rules-128k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k-json_rules-128k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:17:36.483341+00:00,unsloth-granite-4.1-8b-q5-128k,longctx_research,needle_position-64k,longctx-retrieval,64k,4,"found 4/5, missing=['Q25']",46.185,252065,63016,52584,91,52675,stop,normal_content,261,,/opt/atom/bench/prompts/generated/needle_position-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-granite-4.1-8b-q5-128k-needle_position-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-granite-4.1-8b-q5-128k-needle_position-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-granite-4.1-8b-q5-128k.csv
2026-05-04T05:18:23.523885+00:00,unsloth-granite-4.1-8b-q5-128k,longctx_research,conflict_policy-64k,longctx-conflict,64k,5,correct current model and obsolete evidence,47.04,252286,63071,48702,177,48879,stop,normal_content,580,,/opt/atom/bench/prompts/generated/conflict_policy-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-granite-4.1-8b-q5-128k-conflict_policy-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-granite-4.1-8b-q5-128k-conflict_policy-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-granite-4.1-8b-q5-128k.csv
2026-05-04T05:20:30.335963+00:00,unsloth-granite-4.1-8b-q5-128k,longctx_research,repo_architecture-64k,longctx-code,64k,5,good architecture coverage with real files,126.812,255613,63903,60631,1200,61831,length,normal_content,5214,,/opt/atom/bench/prompts/generated/repo_architecture-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-granite-4.1-8b-q5-128k-repo_architecture-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-granite-4.1-8b-q5-128k-repo_architecture-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-granite-4.1-8b-q5-128k.csv
2026-05-04T05:21:48.009903+00:00,unsloth-granite-4.1-8b-q5-128k,longctx_research,duplicate_logic-64k,longctx-code,64k,5,all transaction parser duplicate files grouped,77.673,254626,63656,60396,198,60594,stop,normal_content,876,,/opt/atom/bench/prompts/generated/duplicate_logic-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-granite-4.1-8b-q5-128k-duplicate_logic-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-granite-4.1-8b-q5-128k-duplicate_logic-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-granite-4.1-8b-q5-128k.csv
2026-05-04T05:23:15.265864+00:00,unsloth-granite-4.1-8b-q5-128k,longctx_research,bug_risk-64k,longctx-code,64k,5,identified timeout/retry/scheduler risk with file evidence,87.256,255520,63880,60608,573,61181,stop,normal_content,2652,,/opt/atom/bench/prompts/generated/bug_risk-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-granite-4.1-8b-q5-128k-bug_risk-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-granite-4.1-8b-q5-128k-bug_risk-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-granite-4.1-8b-q5-128k.csv
2026-05-04T05:25:22.394266+00:00,unsloth-granite-4.1-8b-q5-128k,longctx_research,refactor_plan-64k,longctx-code,64k,2,wrote code instead of plan; missing staged plan; missing rollback/revert plan,127.128,255648,63912,60636,1200,61836,length,normal_content,5542,,/opt/atom/bench/prompts/generated/refactor_plan-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-granite-4.1-8b-q5-128k-refactor_plan-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-granite-4.1-8b-q5-128k-refactor_plan-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-granite-4.1-8b-q5-128k.csv
2026-05-04T05:27:53.618118+00:00,unsloth-granite-4.1-8b-q5-128k,longctx_research,finance_memo-64k,longctx-finance,64k,5,good memo with explicit contradictions,151.223,251674,62918,63946,1457,65403,stop,normal_content,6854,,/opt/atom/bench/prompts/generated/finance_memo-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-granite-4.1-8b-q5-128k-finance_memo-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-granite-4.1-8b-q5-128k-finance_memo-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-granite-4.1-8b-q5-128k.csv
2026-05-04T05:28:47.986963+00:00,unsloth-granite-4.1-8b-q5-128k,longctx_research,json_rules-64k,longctx-instructions,64k,3,markdown fence leakage; missing models array,54.368,253752,63438,49130,271,49401,stop,normal_content,1010,,/opt/atom/bench/prompts/generated/json_rules-64k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-granite-4.1-8b-q5-128k-json_rules-64k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-granite-4.1-8b-q5-128k-json_rules-64k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-granite-4.1-8b-q5-128k.csv
2026-05-04T05:31:03.758661+00:00,unsloth-granite-4.1-8b-q5-128k,longctx_research,needle_position-128k,longctx-retrieval,128k,4,"found 4/5, missing=['Q25']",135.771,509619,127404,106467,101,106568,stop,normal_content,305,,/opt/atom/bench/prompts/generated/needle_position-128k.txt,/opt/atom/bench/results/response-20260504-131151-unsloth-granite-4.1-8b-q5-128k-needle_position-128k.txt,/opt/atom/bench/results/raw-20260504-131151-unsloth-granite-4.1-8b-q5-128k-needle_position-128k.json,/opt/atom/bench/results/memory-20260504-131151-unsloth-granite-4.1-8b-q5-128k.csv
